fold,region,family,feature,true_y_ic,d0_prediction_ic,d0_true_y_ic,partial_true_y_ic_given_d0,finite_days
F3,middle60,volatility,parkinson_5,-0.025961909,-0.199003970,0.046406254,-0.016997802,242
F3,middle60,volatility,parkinson_10,-0.021491625,-0.190008414,0.046396446,-0.012969658,242
F3,middle60,volatility,parkinson_20,-0.014709579,-0.175107436,0.046174424,-0.005989093,242
F3,middle60,volatility,parkinson_60,-0.009009657,-0.138134066,0.046027875,-0.001265819,242
F3,middle60,volatility,gkvol_5,-0.023880000,-0.212161251,0.046406254,-0.014468825,242
F3,middle60,volatility,gkvol_10,-0.019589722,-0.198991045,0.046396446,-0.010653386,242
F3,middle60,volatility,gkvol_20,-0.014059551,-0.181527026,0.046174424,-0.005053877,242
F3,middle60,volatility,gkvol_60,-0.009222803,-0.141569911,0.046027875,-0.001382574,242
F3,middle60,volatility,atr_5,-0.026878846,-0.193675019,0.046362016,-0.018569701,242
F3,middle60,volatility,atr_10,-0.020877518,-0.178758691,0.046359541,-0.013044317,242
F3,middle60,volatility,atr_20,-0.013379655,-0.156508947,0.046182552,-0.005551778,242
F3,middle60,volatility,atr_60,-0.005432253,-0.102395143,0.046050084,0.000264735,242
F3,middle60,volume_price,corr_ret_dlogvol_5,-0.014020081,-0.135262502,0.046365392,-0.008464063,242
F3,middle60,volume_price,corr_ret_dlogvol_20,-0.024521088,-0.137500498,0.046182552,-0.017990028,242
F3,middle60,volume_price,corr_ret_dlogamt_5,-0.015218802,-0.136651162,0.046365392,-0.009478693,242
F3,middle60,volume_price,corr_ret_dlogamt_20,-0.024121411,-0.142295769,0.046182552,-0.017372349,242
